Sentence,Technique,Risk Score,Risk Level,Explanation,Neutral Rewrite
"God never gave them that authority and any, and all, government that oversteps the divine authority and its boundaries has no divine authority or protection.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"God never gave them that authority and any, and all, government that oversteps the divine authority and its boundaries has no divine authority or protection."
It is not a minister of God for evil.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,It is not a minister of God for evil.
"Civil magistrates have a divine duty to “execute wrath upon him that doeth evil.” Anyone who teaches that they have authority to execute wrath upon ""him that doeth good” is ignorant and uneducated in their misleadings (1 John 4:6).",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Civil magistrates have a divine duty to “execute wrath upon him that doeth evil.” Anyone who teaches that they have authority to execute wrath upon ""him that doeth good” is ignorant and uneducated in their misleadings (1 John 4:6)."
To tell Christians to submit to evil civil authority is teaching the opposite of what is true.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,To tell Christians to submit to evil civil authority is teaching the opposite of what is true.
David was a king that was to overthrow corrupt governments by dispossessing them and establishing righteousness through justice and judgment (Jeremiah 23:5; Isaiah 51:4).,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,David was a king that was to overthrow corrupt governments by dispossessing them and establishing righteousness through justice and judgment (Jeremiah 23:5; Isaiah 51:4).
"In the end, Only the corrupt king acknowledges the God of Shadrach, Meshach, and Abednego.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"In the end, Only the corrupt king acknowledges the God of Shadrach, Meshach, and Abednego."
Was he violating God's principles of submission when he was sent to preach repentance to the corrupt church and the corrupt kings?,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,Was he violating God's principles of submission when he was sent to preach repentance to the corrupt church and the corrupt kings?
"Jeremiah 1:18
Don’t forget about Amos, who was prophesying judgment upon the corrupt priests and the corrupt king of his day (Amos 7:10-16).",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Jeremiah 1:18 Don’t forget about Amos, who was prophesying judgment upon the corrupt priests and the corrupt king of his day (Amos 7:10-16)."
John the Baptist points out all of the evils of King Herod (Luke 3:19).,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,John the Baptist points out all of the evils of King Herod (Luke 3:19).
"No, it was a rebuke to corruption in government to submit to the God of Abraham, Isaac and Jacob and His laws.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"No, it was a rebuke to corruption in government to submit to the God of Abraham, Isaac and Jacob and His laws."
The corrupt Pharisees along with corrupt government did the opposite.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,The corrupt Pharisees along with corrupt government did the opposite.
"Neither is there salvation in any other: for there is none other name under heaven given among men, whereby we must be saved.",Black-and-White Thinking,45,MEDIUM,This sentence presents only two extreme choices.,"Neither is there salvation in any other: for there is none other name under heaven given among men, whereby we must be saved."
"But that it spread no further among the people, let us straitly threaten them, that they speak henceforth to no man in this name.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"But that it spread no further among the people, let us straitly threaten them, that they speak henceforth to no man in this name."
"And when Peter was come to himself, he said, Now I know of a surety, that the Lord hath sent his angel, and hath delivered me out of the hand of Herod, and from all the expectation of the people of the Jews.”
Over and over again, you can see that the Church was to stand in protest against the wicked that were at war with Christ (Revelation 12:17), in dealing with not only the corrupt and wicked priests, but also the corrupt and wicked in government.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"And when Peter was come to himself, he said, Now I know of a surety, that the Lord hath sent his angel, and hath delivered me out of the hand of Herod, and from all the expectation of the people of the Jews.” Over and over again, you can see that the Church was to stand in protest against the wicked that were at war with Christ (Revelation 12:17), in dealing with not only the corrupt and wicked priests, but also the corrupt and wicked in government."
"“Be not overcome of evil, but overcome evil with good.”
Article posted with permission from Sons Of Liberty Media",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"“Be not overcome of evil, but overcome evil with good.” Article posted with permission from Sons Of Liberty Media"
